id_categories,_class,id,title,type
66f602bb-87da-465c-828b-d1b31beee882_48_269,course_subcategory,116,Thiết kế trò chơi,subcategory
66f602bb-87da-465c-828b-d1b31beee882_48_269,course_subcategory,120,3D & Hoạt hình,subcategory
66f602bb-87da-465c-828b-d1b31beee882_48_269,course_subcategory,122,Thiết kế thời trang,subcategory
66f602bb-87da-465c-828b-d1b31beee882_48_269,course_subcategory,124,Thiết kế kiến trúc,subcategory
66f602bb-87da-465c-828b-d1b31beee882_48_269,course_subcategory,128,Thiết kế nội thất,subcategory
66f602bb-87da-465c-828b-d1b31beee882_48_269,course_subcategory,130,Thiết kế khác,subcategory
8a8e3e21-a728-47f5-9663-4d8360baeab9_48_290,course_subcategory,62,Marketing kỹ thuật số,subcategory
8a8e3e21-a728-47f5-9663-4d8360baeab9_48_290,course_subcategory,64,SEO,subcategory
8a8e3e21-a728-47f5-9663-4d8360baeab9_48_290,course_subcategory,66,Marketing trên mạng xã hội,subcategory
8a8e3e21-a728-47f5-9663-4d8360baeab9_48_290,course_subcategory,68,Xây dựng thương hiệu,subcategory
8a8e3e21-a728-47f5-9663-4d8360baeab9_48_290,course_subcategory,70,Nguyên tắc cơ bản về marketing,subcategory
8a8e3e21-a728-47f5-9663-4d8360baeab9_48_290,course_subcategory,72,Phân tích và tự động hóa marketing,subcategory
8a8e3e21-a728-47f5-9663-4d8360baeab9_48_290,course_subcategory,74,Quan hệ công chúng,subcategory
8a8e3e21-a728-47f5-9663-4d8360baeab9_48_290,course_subcategory,76,Quảng cáo có trả phí,subcategory
8a8e3e21-a728-47f5-9663-4d8360baeab9_48_290,course_subcategory,78,Marketing qua video và trên thiết bị di động,subcategory
8a8e3e21-a728-47f5-9663-4d8360baeab9_48_290,course_subcategory,80,Marketing qua nội dung,subcategory
8a8e3e21-a728-47f5-9663-4d8360baeab9_48_290,course_subcategory,86,Hack tăng trưởng,subcategory
8a8e3e21-a728-47f5-9663-4d8360baeab9_48_290,course_subcategory,88,Marketing liên kết,subcategory
8a8e3e21-a728-47f5-9663-4d8360baeab9_48_290,course_subcategory,90,Marketing sản phẩm,subcategory
8a8e3e21-a728-47f5-9663-4d8360baeab9_48_290,course_subcategory,94,Marketing khác,subcategory
7e734be6-77c9-4103-8aaa-446b870452d2_48_274,course_subcategory,180,Nghệ thuật & Đồ thủ công,subcategory
7e734be6-77c9-4103-8aaa-446b870452d2_48_274,course_subcategory,184,Làm đẹp & Trang điểm,subcategory
7e734be6-77c9-4103-8aaa-446b870452d2_48_274,course_subcategory,577,Các phương pháp bí truyền,subcategory
7e734be6-77c9-4103-8aaa-446b870452d2_48_274,course_subcategory,182,Thực phẩm & Đồ uống,subcategory
7e734be6-77c9-4103-8aaa-446b870452d2_48_274,course_subcategory,188,Chơi game,subcategory
7e734be6-77c9-4103-8aaa-446b870452d2_48_274,course_subcategory,190,Cải tạo nhà & Làm vườn,subcategory
7e734be6-77c9-4103-8aaa-446b870452d2_48_274,course_subcategory,192,Chăm sóc & Huấn luyện thú cưng,subcategory
7e734be6-77c9-4103-8aaa-446b870452d2_48_274,course_subcategory,186,Du lịch,subcategory
7e734be6-77c9-4103-8aaa-446b870452d2_48_274,course_subcategory,194,Phong cách sống khác,subcategory
216ebe85-df2e-4eb8-8793-3c3fc90a26e6_48_273,course_subcategory,370,Nhiếp ảnh kỹ thuật số,subcategory
216ebe85-df2e-4eb8-8793-3c3fc90a26e6_48_273,course_subcategory,196,Nhiếp ảnh,subcategory
216ebe85-df2e-4eb8-8793-3c3fc90a26e6_48_273,course_subcategory,204,Nghệ thuật chụp ảnh chân dung,subcategory
216ebe85-df2e-4eb8-8793-3c3fc90a26e6_48_273,course_subcategory,198,Công cụ nhiếp ảnh,subcategory
216ebe85-df2e-4eb8-8793-3c3fc90a26e6_48_273,course_subcategory,208,Nhiếp ảnh thương mại,subcategory
216ebe85-df2e-4eb8-8793-3c3fc90a26e6_48_273,course_subcategory,218,Thiết kế video,subcategory
216ebe85-df2e-4eb8-8793-3c3fc90a26e6_48_273,course_subcategory,220,Nhiếp ảnh & Video khác,subcategory
73a5bac7-d3ae-4dba-97fe-7d18baaf37a7_48_276,course_subcategory,222,Thể dục,subcategory
